status,old_path,new_path,normalized_path,ko_path,action,priority,additions,deletions,section
R,docs/02-app/02-api-reference/04-functions/generate-image-metadata.mdx,docs/01-app/03-api-reference/04-functions/generate-image-metadata.mdx,app/api-reference/functions/generate-image-metadata,pages/docs/app/api-reference/functions/generate-image-metadata.mdx,UPDATE_REQUIRED,P0,63,16,app/api-reference
R,docs/02-app/02-api-reference/04-functions/generate-metadata.mdx,docs/01-app/03-api-reference/04-functions/generate-metadata.mdx,app/api-reference/functions/generate-metadata,pages/docs/app/api-reference/functions/generate-metadata.mdx,UPDATE_REQUIRED,P0,353,168,app/api-reference
R,docs/02-app/02-api-reference/04-functions/generate-sitemaps.mdx,docs/01-app/03-api-reference/04-functions/generate-sitemaps.mdx,app/api-reference/functions/generate-sitemaps,pages/docs/app/api-reference/functions/generate-sitemaps.mdx,UPDATE_REQUIRED,P0,16,9,app/api-reference
R,docs/02-app/02-api-reference/04-functions/generate-static-params.mdx,docs/01-app/03-api-reference/04-functions/generate-static-params.mdx,app/api-reference/functions/generate-static-params,pages/docs/app/api-reference/functions/generate-static-params.mdx,UPDATE_REQUIRED,P0,188,25,app/api-reference
R,docs/02-app/02-api-reference/04-functions/generate-viewport.mdx,docs/01-app/03-api-reference/04-functions/generate-viewport.mdx,app/api-reference/functions/generate-viewport,pages/docs/app/api-reference/functions/generate-viewport.mdx,UPDATE_REQUIRED,P0,54,7,app/api-reference
A,,docs/01-app/03-api-reference/04-functions/headers.mdx,app/api-reference/functions/headers,pages/docs/app/api-reference/functions/headers.mdx,UPDATE_REQUIRED,P0,73,0,app/api-reference
A,,docs/01-app/03-api-reference/04-functions/image-response.mdx,app/api-reference/functions/image-response,pages/docs/app/api-reference/functions/image-response.mdx,UPDATE_REQUIRED,P0,212,0,app/api-reference
R,docs/02-app/02-api-reference/04-functions/index.mdx,docs/01-app/03-api-reference/04-functions/index.mdx,app/api-reference/functions,pages/docs/app/api-reference/functions.mdx,UPDATE_REQUIRED,P0,0,0,app/api-reference
R,docs/02-app/02-api-reference/04-functions/next-request.mdx,docs/01-app/03-api-reference/04-functions/next-request.mdx,app/api-reference/functions/next-request,pages/docs/app/api-reference/functions/next-request.mdx,UPDATE_REQUIRED,P0,24,52,app/api-reference
R,docs/02-app/02-api-reference/04-functions/next-response.mdx,docs/01-app/03-api-reference/04-functions/next-response.mdx,app/api-reference/functions/next-response,pages/docs/app/api-reference/functions/next-response.mdx,UPDATE_REQUIRED,P0,61,4,app/api-reference
R,docs/02-app/02-api-reference/04-functions/not-found.mdx,docs/01-app/03-api-reference/04-functions/not-found.mdx,app/api-reference/functions/not-found,pages/docs/app/api-reference/functions/not-found.mdx,UPDATE_REQUIRED,P0,3,2,app/api-reference
R,docs/02-app/02-api-reference/04-functions/permanentRedirect.mdx,docs/01-app/03-api-reference/04-functions/permanentRedirect.mdx,app/api-reference/functions/permanentRedirect,pages/docs/app/api-reference/functions/permanentRedirect.mdx,UPDATE_REQUIRED,P0,4,3,app/api-reference
R,docs/02-app/02-api-reference/04-functions/redirect.mdx,docs/01-app/03-api-reference/04-functions/redirect.mdx,app/api-reference/functions/redirect,pages/docs/app/api-reference/functions/redirect.mdx,UPDATE_REQUIRED,P0,90,11,app/api-reference
A,,docs/01-app/03-api-reference/04-functions/refresh.mdx,app/api-reference/functions/refresh,pages/docs/app/api-reference/functions/refresh.mdx,UPDATE_REQUIRED,P0,69,0,app/api-reference
A,,docs/01-app/03-api-reference/04-functions/revalidatePath.mdx,app/api-reference/functions/revalidatePath,pages/docs/app/api-reference/functions/revalidatePath.mdx,UPDATE_REQUIRED,P0,195,0,app/api-reference
A,,docs/01-app/03-api-reference/04-functions/revalidateTag.mdx,app/api-reference/functions/revalidateTag,pages/docs/app/api-reference/functions/revalidateTag.mdx,UPDATE_REQUIRED,P0,136,0,app/api-reference
R,docs/02-app/02-api-reference/04-functions/unstable_cache.mdx,docs/01-app/03-api-reference/04-functions/unstable_cache.mdx,app/api-reference/functions/unstable_cache,pages/docs/app/api-reference/functions/unstable_cache.mdx,UPDATE_REQUIRED,P0,30,24,app/api-reference
R,docs/02-app/02-api-reference/04-functions/unstable_noStore.mdx,docs/01-app/03-api-reference/04-functions/unstable_noStore.mdx,app/api-reference/functions/unstable_noStore,pages/docs/app/api-reference/functions/unstable_noStore.mdx,UPDATE_REQUIRED,P0,11,7,app/api-reference
R,docs/02-app/02-api-reference/04-functions/unstable_rethrow.mdx,docs/01-app/03-api-reference/04-functions/unstable_rethrow.mdx,app/api-reference/functions/unstable_rethrow,pages/docs/app/api-reference/functions/unstable_rethrow.mdx,UPDATE_REQUIRED,P0,10,8,app/api-reference
A,,docs/01-app/03-api-reference/04-functions/updateTag.mdx,app/api-reference/functions/updateTag,pages/docs/app/api-reference/functions/updateTag.mdx,UPDATE_REQUIRED,P0,153,0,app/api-reference
R,docs/02-app/02-api-reference/04-functions/use-params.mdx,docs/01-app/03-api-reference/04-functions/use-params.mdx,app/api-reference/functions/use-params,pages/docs/app/api-reference/functions/use-params.mdx,UPDATE_REQUIRED,P0,3,3,app/api-reference
A,,docs/01-app/03-api-reference/04-functions/use-pathname.mdx,app/api-reference/functions/use-pathname,pages/docs/app/api-reference/functions/use-pathname.mdx,UPDATE_REQUIRED,P0,156,0,app/api-reference
R,docs/02-app/02-api-reference/04-functions/use-report-web-vitals.mdx,docs/01-app/03-api-reference/04-functions/use-report-web-vitals.mdx,app/api-reference/functions/use-report-web-vitals,pages/docs/app/api-reference/functions/use-report-web-vitals.mdx,UPDATE_REQUIRED,P0,78,63,app/api-reference
R,docs/02-app/02-api-reference/04-functions/use-router.mdx,docs/01-app/03-api-reference/04-functions/use-router.mdx,app/api-reference/functions/use-router,pages/docs/app/api-reference/functions/use-router.mdx,UPDATE_REQUIRED,P0,15,12,app/api-reference
R,docs/02-app/02-api-reference/04-functions/use-search-params.mdx,docs/01-app/03-api-reference/04-functions/use-search-params.mdx,app/api-reference/functions/use-search-params,pages/docs/app/api-reference/functions/use-search-params.mdx,UPDATE_REQUIRED,P0,23,12,app/api-reference
R,docs/02-app/02-api-reference/04-functions/use-selected-layout-segment.mdx,docs/01-app/03-api-reference/04-functions/use-selected-layout-segment.mdx,app/api-reference/functions/use-selected-layout-segment,pages/docs/app/api-reference/functions/use-selected-layout-segment.mdx,UPDATE_REQUIRED,P0,2,2,app/api-reference
R,docs/02-app/02-api-reference/04-functions/use-selected-layout-segments.mdx,docs/01-app/03-api-reference/04-functions/use-selected-layout-segments.mdx,app/api-reference/functions/use-selected-layout-segments,pages/docs/app/api-reference/functions/use-selected-layout-segments.mdx,UPDATE_REQUIRED,P0,3,3,app/api-reference
R,docs/02-app/02-api-reference/04-functions/userAgent.mdx,docs/01-app/03-api-reference/04-functions/userAgent.mdx,app/api-reference/functions/userAgent,pages/docs/app/api-reference/functions/userAgent.mdx,UPDATE_REQUIRED,P0,14,6,app/api-reference
R,docs/02-app/02-api-reference/07-edge.mdx,docs/01-app/03-api-reference/07-edge.mdx,app/api-reference/edge,pages/docs/app/api-reference/edge.mdx,UPDATE_REQUIRED,P0,26,13,app/api-reference
R,docs/02-app/02-api-reference/index.mdx,docs/01-app/03-api-reference/index.mdx,app/api-reference,pages/docs/app/api-reference.mdx,UPDATE_REQUIRED,P0,0,2,app/api-reference
